group,year,percentile,Annuitized Financial Income,DB Pension Income,Earned Income,Federal Income Tax,HI tax,Imputed Rental Income,Means+Nonmeans Benefits,Medicare Part B Premium,Medicare Part D Premium,Medicare Surtax,Net Annuity Income,Net Cash Income,OASDI tax,Other Family Member Income,Own Benefit,Own Earnings,Per Capita Annuity Income,Per Capita Cash Income,Per Capita Dividend Income,Per Capita Interest Income,Per Capita IRA Withdrawal,Per Capita Rental Income,Social Security Benefits,Spouse Benefit,Spouse Earnings,SSI,State Income Tax
African-Americans,2015,P10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
African-Americans,2015,P25,0,0,0,0,0,0,0,0,0,0,0,-10.200000000000728,0,0,0,0,0,-10.5,0,0,0,0,0,0,0,0,0
African-Americans,2015,P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
African-Americans,2015,P50,0,0,0,0,0,0,0,0,0,0,-32.700000000000728,-54.799999999999272,0,0,0,0,-117.79999999999927,-56.200000000000728,0,0,0,0,0,0,0,0,0
African-Americans,2015,P75,0,-204,0,-1,0,0,0,0,0,0,-84,0,0,0,0,0,-29,-63,0,0,0,0,0,0,0,0,-1
African-Americans,2015,P90,0,0,0,-54,0,0,0,0,0,0,0,-264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
African-Americans,2015,P95,0,0,0,0,0,0,0,0,0,0,-1006,0,0,0,0,0,-145,-149,0,28,0,0,0,0,0,0,0
African-Americans,2015,P99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
African-Americans,2025,P10,7.48,0,0,0,0,0,0,0,0,0,613.64000000000033,551.52000000000044,0,0,0,0,555.04000000000087,793.04999999999927,0,0,0,0,0,0,0,0,0
African-Americans,2025,P25,9.5,0,0,0,0,0,0,0,0,0,131.5,160,0,0,859.90000000000055,0,26.399999999999636,163.30000000000109,0,0,0,0,655.80000000000018,0,0,0,0
African-Americans,2025,P5,0.48000000000000398,0,0,0,0,0,0,0,0,0,139.63999999999942,395.45999999999958,0,0,0,0,424.93000000000029,508.21000000000004,0,0,0,0,0,0,0,0,0
African-Americans,2025,P50,22.099999999999909,0,0,0,0,-9.9000000000000909,0,0,0,0,-357.20000000000073,-422.59999999999854,0,0,-257.5,0,-202.09999999999854,-359.79999999999927,0,0,0,0,14.200000000000728,0,0,0,0
African-Americans,2025,P75,108,-127,-31,-74,-1,5,0,0,0,0,-465,-295,21,0,-461,0,-538,-416,0,0,63,0,-467,-226,0,0,-6
African-Americans,2025,P90,-34,0,-123,-229,-2,0,0,0,0,0,-347,-328,115,0,-488,-108,-577,-480,3,0,115,0,-535,-518,-90,0,-17
African-Americans,2025,P95,19,0,-205,-278,-3,0,0,0,0,0,-438,-301,187,0,-518,-181,-246,-461,0,10,59,0,-521,-475,-201,-1759,-26
African-Americans,2025,P99,0,0,-433,-102,-6,0,-8,0,0,0,-1545,-212,666,-12790,-276,-459,-2279,-544,0,-189,0,0,-671,-656,-482,-214,-46
African-Americans,2035,P10,23.39,0,0,0,0,0,0,0,0,0,1350.88,668.97000000000025,0,0,0,0,1489.4600000000009,775.92000000000007,0,0,0,0,0,0,0,0,0
African-Americans,2035,P25,103,0,0,0,0,0,0,0,0,0,304.30000000000109,175.29999999999927,0,0,159.19999999999982,0,279.39999999999964,114.80000000000109,0,0,0,0,989.20000000000073,0,0,0,0
African-Americans,2035,P5,4.519999999999996,0,0,0,0,0,0,0,0,0,416.68000000000029,67.470000000000255,0,0,0,0,672.79,366.6899999999996,0,0,0,0,0,0,0,0,0
African-Americans,2035,P50,191.19999999999982,0,0,0,0,2.6000000000000227,0,0,0,0,-817.5,-845.09999999999854,0,0,-518,0,-644.70000000000073,-756,0,0,0,0,-341.89999999999964,0,0,0,0
African-Americans,2035,P75,285,-69,-23,-110,0,2,0,0,0,0,-1377,-1408,17,0,-1392,0,-1018,-1314,0,0,215,0,-1442,-920,0,0,-5
African-Americans,2035,P90,18,-264,-144,-298,-2,0,0,0,0,0,-776,-630,139,0,-1937,-119,-1575,-718,-10,-11,51,0,-1565,-2186,-84,0,-12
African-Americans,2035,P95,569,0,-246,-162,-4,0,16,0,0,0,-1539,-903,243,0,-2086,-241,-1992,-901,0,0,59,0,-1679,-2854,-64,0,-20
African-Americans,2035,P99,1876,0,-510,-1927,-8,0,-27,0,0,-38,-5494,-4933,1259,0,-1734,-557,1937,-5358,0,0,-992,0,-1174,-2616,-559,-589,-175
African-Americans,2045,P10,66.800000000000011,0,0,0,0,0,0,0,0,0,1680.4799999999996,1360.4099999999999,0,0,0,0,1793.7900000000009,1313.08,0,0,0,0,0,0,0,0,0
African-Americans,2045,P25,240.79999999999995,0,0,0,0,0,0,0,0,0,540.39999999999964,332.29999999999927,0,0,-332.89999999999964,0,357.09999999999854,321.60000000000036,0,0,0,0,624.29999999999927,0,0,0,0
African-Americans,2045,P5,7.0600000000000023,0,0,0,0,0,0,0,0,0,779.88999999999987,455.97000000000025,0,0,0,0,880.6299999999992,261.30999999999949,0,0,0,0,0,0,0,0,0
African-Americans,2045,P50,599.70000000000027,0,0,0,0,0.5,0,0,0,0,-518.79999999999927,-886.70000000000073,0,0,-592.39999999999964,0,-266.20000000000073,-859.60000000000218,0,0,0,0,-473,0,0,0,0
African-Americans,2045,P75,984,-21,-22,-167,0,1,0,0,0,0,-621,-1232,16,0,-1624,0,-641,-1211,0,-1,881,0,-1850,-2156,0,0,4
African-Americans,2045,P90,675,-74,-151,-653,-2,-45,135,0,0,0,-1495,-1205,149,0,-2629,-120,-1613,-2287,-5,-8,603,0,-2464,-3095,-93,0,-10
African-Americans,2045,P95,414,-28,-261,-370,-4,-9,127,0,0,-20,-1728,-2080,256,0,-2457,-255,-1864,-2113,0,-50,1497,2,-1979,-5398,-229,0,-63
African-Americans,2045,P99,2373,0,-3141,434,-27,0,198,0,0,-57,-3926,-2720,2066,16093,-1911,-668,-5294,-1691,0,-847,1785,0,-1736,-6536,-704,-765,-359
African-Americans,2055,P10,102.47,0,0,0,0,0,0,0,0,0,2398.1399999999994,2426.0499999999993,0,0,0,0,2569.8499999999985,2650.6100000000006,0,0,0,0,0,0,0,0,0
African-Americans,2055,P25,457.6,0,0,0,0,0,0,0,0,0,600.5,567.10000000000036,0,0,-478.09999999999854,0,620.59999999999854,471.69999999999891,0,0,0,0,1018.3000000000011,0,0,0,0
African-Americans,2055,P5,10.059999999999995,0,0,0,0,0,0,0,0,0,769.63999999999942,743.67000000000007,0,0,0,0,806.19000000000051,1013.1700000000001,0,0,0,0,0,0,0,0,0
African-Americans,2055,P50,1494,0,0,0,0,0,0,0,0,0,-217.89999999999782,-743.69999999999709,0,0,-710.60000000000218,0,-89.900000000001455,-814.39999999999782,0,0,130,0,-664.70000000000073,0,0,0,0
African-Americans,2055,P75,2234,0,-38,-207,-1,6,0,0,0,0,-583,-846,36,0,-2223,0,-1194,-699,0,-1,1726,0,-2697,-2610,0,0,3
African-Americans,2055,P90,1790,-38,-200,-302,-3,4,0,0,0,-8,377,-1027,196,0,-3211,-162,-784,-1427,0,-22,2499,0,-2925,-4362,-115,0,37
African-Americans,2055,P95,3077,0,-334,-745,-4,-12,-87,0,0,-31,-1890,-1618,329,0,-3387,-315,-3185,-1928,0,0,2120,0,-2447,-6556,-290,0,-59
African-Americans,2055,P99,862,0,-748,-1453,-11,-217,67,0,0,-21,-2784,3688,1791,17920,-3144,-784,1411,-4390,-389,0,3968,0,-1901,-5976,-772,-1573,152
African-Americans,2065,P10,141.66999999999999,0,0,0,0,0,0,0,0,0,2458.0899999999992,2820.71,0,0,0,0,2620.3500000000004,2981.92,0,0,0,0,0,0,0,0,0
African-Americans,2065,P25,591.29999999999995,0,0,0,0,0,0,0,0,0,458.59999999999854,488.60000000000036,0,0,-850.20000000000073,0,382.20000000000073,533.5,0,0,0,0,893.20000000000073,0,0,0,0
African-Americans,2065,P5,11.439999999999998,0,0,0,0,0,0,0,0,0,546.87000000000035,547.14999999999986,0,0,0,0,879.52000000000044,766.27000000000044,0,0,0,0,0,0,0,0,0
African-Americans,2065,P50,1895,0,0,0,0,0,0,0,0,0,-338,-905.59999999999854,0,0,-1132.1000000000022,0,-426,-884,0,0,566.70000000000005,0,-1225.2999999999993,0,0,0,0
African-Americans,2065,P75,2583,0,-34,-103,-1,-5,0,0,0,0,-699,-902,29,0,-2880,0,-240,-13,0,0,3127,0,-3515,-3130,0,0,22
